"","toolname","AUROC","AUPRC","Sn","Sp","precision","F1-score","Accuracy","MCC"
"1","ACME",0.892016159682114,0.910480357810211,0.838952504534038,0.838952504534038,0.838952504534038,0.838952504534038,0.838952504534038,0.677905009068075
"2","BigMHC",0.941635881540591,0.949924254966062,0.882117875293732,0.882117875293732,0.882117875293732,0.882117875293732,0.882117875293732,0.764235750587464
"3","CapsNet-MHC_AN",0.941134307266413,0.946531418290038,0.874480845947866,0.874480845947866,0.874480845947866,0.874480845947866,0.874480845947866,0.748961691895732
"4","CapsNet-MHC_IE",0.868386376552247,0.8257882799505,0.826920352794698,0.826920352794698,0.826920352794698,0.826920352794698,0.826920352794698,0.653840705589395
"5","IEDBconsensus2.18",0.88364337751501,0.854885117730012,0.81902164282027,0.82391419920024,0.823048453783855,0.821030110873822,0.821467921010255,0.642943537170982
"6","DeepAttentionpan",0.870494720017649,0.822682714338717,0.830275331956549,0.830275331956549,0.830275331956549,0.830275331956549,0.830275331956549,0.660550663913099
"7","DeepHLApan",0.876223410282012,0.874115306669426,0.837245204655992,0.836773867424449,0.836850765732857,0.837047938726938,0.837009536040221,0.674019146950083
"8","DeepNetBim",0.650722854087928,0.640534976417646,0.628043014536098,0.628043014536098,0.628043014536098,0.628043014536098,0.628043014536098,0.256086029072197
"9","MHCflurry2.0_BA",0.9265387790878,0.899751534999151,0.87761626318378,0.879187387288923,0.87899727699402,0.878306227226426,0.878401825236352,0.756804584533211
"10","MHCflurry2.0_PS",0.935390422585629,0.945139079887737,0.888579977047926,0.888579977047926,0.888579977047926,0.888579977047926,0.888579977047926,0.777159954095852
"11","MixMHCpred3.0",0.914866807475886,0.878186746788294,0.860231433411662,0.860231433411662,0.860231433411662,0.860231433411662,0.860231433411662,0.720462866823324
"12","NetMHCcons1.1",0.918629308247641,0.898402068910259,0.848550467238647,0.855046723864692,0.854098912961269,0.851315649703769,0.851798595551669,0.703612037948972
"13","NetMHCpan4.1_BA",0.917247227853862,0.891853257246201,0.860279250232253,0.866147057216241,0.865356998069166,0.862810653421255,0.863213153724247,0.726438813621221
"14","NetMHCpan4.1_EL",0.929490942879433,0.90208135925005,0.878108093338434,0.882561888627794,0.882036503362152,0.880067914504402,0.880334990983114,0.760677526514591
"15","NetMHCstabpan1.0",0.903244999747106,0.87879360690809,0.823788185146729,0.842764631947101,0.839723146768421,0.831679344565285,0.833276408546915,0.666672864195815
"16","STMHCpan",0.961416634323657,0.964815494694084,0.907406142412154,0.907365156565933,0.907368953127775,0.907387547388914,0.907385649489043,0.814771299662429
"17","TransPHLA",0.921880349892467,0.928664901272282,0.878955134160337,0.832183452647686,0.839681804240435,0.858869743117368,0.855569293404011,0.711917705233836
